Id,Area,COUNT,MIN,MAX,RANGE,MEAN,STD,SUM,volume,mean_depth,cat_area,dep2catR,Downstream,simu_depth,rain_inten,time_inund,rank,Shape_Leng,Shape_Area,Perimeter,Max_depth,depth_inde,MinBdAr,depConcav,LenLonAx,MBG_Width,MBG_Length,MBG_Orient,Circular,Compact,Elong
67,1493.00000032,1493,2004.5916748,2005.13232422,0.54064941406,2004.89883396,0.11660733599,2993313.95911,348.601,0.23349,45367,0.0329094,65,0.00768402,0.05,0.15368,289,482,1493,482,0.540649,0.0439577,10478.5350318,-3.17013,115.506,24.4638661096,115.069014846,91.8183029646,0.0807562,0.142482,4.70363
268,385.000000079,385,2276.98388672,2277.33349609,0.349609375,2277.13243012,0.08981470843,876695.985596,77.4104,0.201066,217369,0.00177118,271,0.000356124,0.05,0.00712248,63,100,385,100,0.349609,0.055976,804.709858969,-2.77662,32.0092,17.6476350933,31.5470999016,51.3401917456,0.483805,0.478433,1.78761
238,106892.000022,106892,2314.75073242,2325.9543457,11.2036132812,2321.28771968,2.29822625163,248127086.93200004,498825,4.66663,334717,0.31935,253,1.49029,0.05,29.8058,583,2012,106892,2012,11.2036,0.107655,209096.594837,-0.241477,515.975,315.702136659,466.156655481,45.8814039966,0.331817,0.511209,1.47657
516,202.00000004,202,2307.8659668,2308.37719727,0.51123046875,2308.05130096,0.13780009728,466226.362793,65.8311,0.325897,3820,0.0528796,516,0.0172333,0.05,0.344666,365,86,202,86,0.51123,0.113003,767.025885086,-6.27228,31.2507,8.74958127083,31.1813936562,86.6335393363,0.343213,0.263355,3.56376
21,3753.00000078,3753,2144.36474609,2144.69970703,0.3349609375,2144.54242459,0.0801966149,8048467.71948,590.281,0.157282,30534,0.122912,6,0.0193319,0.05,0.386638,379,350,3753,350,0.334961,0.0171773,6633.94956907,-0.19611,91.9054,66.2886859981,84.197498215,132.357454706,0.384993,0.565726,1.27016
40,510.000000106,510,2076.99487305,2077.51513672,0.52026367188,2077.27265481,0.13795202322,1059409.05396,123.666,0.242482,3527,0.144599,39,0.0350627,0.05,0.701254,435,150,510,150,0.520264,0.072375,2048.28099712,-2.65098,51.0681,18.0249826631,50.9126703287,71.565051177,0.284838,0.248989,2.82456
48,582.000000122,582,2216.57543945,2217.80883789,1.2333984375,2217.51060795,0.22716441223,1290591.17383,173.57,0.29823,3936,0.147866,18,0.0440981,0.05,0.881962,454,144,582,144,1.2334,0.160617,1388.81145416,-1.66323,42.051,20.8580637532,41.2310562562,165.963756532,0.352702,0.419063,1.97674
51,1403.00000029,1403,2218.55834961,2218.97094727,0.41259765625,2218.84628624,0.06143070599,3113041.3396,174.899,0.124661,4719,0.297309,18,0.0370627,0.05,0.741254,442,282,1403,282,0.412598,0.0346057,2351.12283216,-0.579473,54.7133,42.2401391782,52.2015325446,73.300755766,0.221702,0.596736,1.23583
55,6572.00000137,6572,2217.15795898,2217.84448242,0.6865234375,2217.464482,0.17887088472,14573176.575699998,2497.36,0.38,21356,0.307736,18,0.11694,0.05,2.3388,518,440,6572,440,0.686523,0.0266046,11619.3823313,-0.227785,121.632,77.5242355477,118.630728829,41.7602997039,0.426582,0.565607,1.53024
62,5378.00000112,5378,2218.60839844,2218.98852539,0.38012695313,2218.82398655,0.079274456,11932835.3997,884.89,0.164539,27066,0.198699,7,0.0326938,0.05,0.653876,431,544,5378,544,0.380127,0.0162843,9504.87877241,-0.2209,110.009,72.1613613297,109.842812697,165.323606863,0.228367,0.565815,1.52218
